rep,sample,REBC,fbin1,fbin2,fbin3,fbin4,cell_countb1,cell_countb2,cell_countb3,cell_countb4
4,ERE_AncSR1_control,AncSR1_ERE,-4.65149509,-4.19996159,-3.405664706,-2.618387155,134,470,2243,3886
4,ERE_AncSR2+rh_control,AncSR2_rh_ERE,-4.662590881,-4.18975367,-3.31286327,-2.572679066,32,111,2105,4493
4,SRE1_AncSR1+GGKM_control,AncSR1_GGKM_ERE,-4.67430306,-4.240445853,-3.404743908,-2.752519412,820,1418,2383,1071
4,SRE1_AncSR2_control,AncSR2_SRE,-4.624866352,-4.239767096,-3.511598907,-2.77150429,770,3110,2250,358
4,SRE1_AncSR2+GGKM_sat_control,AncSR2_GGKM_SRE,-4.89607983,-4.145887468,-3.19145229,-2.458577484,1,5,137,6088
